dataset,classifier,acc_mean,acc_std,time_mean,time_std
climates,ivabc,0.816612,0.029600,6187.475690,8359.484263
climates,sdsa,0.694694,0.034360,1.725049,0.315835
climates,sdsa_knn,0.720006,0.029733,2.341258,0.295408
climates,sdsa_knn_not_update,0.720995,0.030854,0.137500,0.031545
climates,sdsa_lgbm_not_update,0.780735,0.032082,56.330931,8.319433
climates,sdsa_lr,0.844352,0.030095,165.774855,64.532608
climates,sdsa_lr_not_update,0.842802,0.034660,102.105154,41.738034
climates,sdsa_not_update,0.698882,0.037178,1.201718,0.423118
climates,sdsa_rf,0.765787,0.035866,4.452389,1.207063
climates,sdsa_rf_not_update,0.767037,0.034930,3.381959,0.979089
climates,sdsa_svc,0.655474,0.038446,3.143752,0.839089
climates,sdsa_svc_not_update,0.655689,0.037649,0.618288,0.142731
climates,sdsa_xgb,0.774972,0.032326,26.447853,4.749078
climates,sdsa_xgb_not_update,0.775733,0.035966,28.224764,6.336095
dataset1,ivabc,0.997500,0.009036,19.015013,9.522711
dataset1,sdsa_knn,0.915750,0.042334,0.087592,0.038163
dataset1,sdsa_knn_not_update,0.911500,0.045449,0.006027,0.008209
dataset1,sdsa_lr,0.932500,0.039229,0.042496,0.011669
dataset1,sdsa_lr_not_update,0.933000,0.038645,0.013989,0.005264
dataset1,sdsa_rf,0.897750,0.046632,0.272661,0.051489
dataset1,sdsa_rf_not_update,0.892750,0.051154,0.240521,0.046059
dataset1,sdsa_svc,0.917000,0.039130,0.039866,0.010910
dataset1,sdsa_svc_not_update,0.913250,0.045453,0.005579,0.002647
dataset1,sdsa_xgb,0.898500,0.044668,0.325598,0.236612
dataset1,sdsa_xgb_not_update,0.884750,0.047141,0.152648,0.092134
dataset2,ivabc,0.950429,0.024761,57.219726,23.932158
dataset2,sdsa_knn,0.936000,0.026677,0.483687,0.028860
dataset2,sdsa_knn_not_update,0.936857,0.027561,0.032228,0.013208
dataset2,sdsa_lr,0.951857,0.023590,0.302539,0.068925
dataset2,sdsa_lr_not_update,0.952286,0.023898,0.058038,0.020920
dataset2,sdsa_rf,0.936429,0.029655,0.984492,0.179874
dataset2,sdsa_rf_not_update,0.937857,0.029096,0.752920,0.119755
dataset2,sdsa_svc,0.945857,0.025402,0.286359,0.069016
dataset2,sdsa_svc_not_update,0.946000,0.025263,0.024236,0.005249
dataset2,sdsa_xgb,0.932286,0.029533,1.169218,0.421301
dataset2,sdsa_xgb_not_update,0.932857,0.030750,0.655073,0.270595
dataset3,ivabc,0.975429,0.017076,60.679672,29.124566
dataset3,sdsa_knn,0.948429,0.024296,0.490431,0.032929
dataset3,sdsa_knn_not_update,0.946143,0.022540,0.031834,0.007795
dataset3,sdsa_lr,0.958571,0.020704,0.306449,0.070641
dataset3,sdsa_lr_not_update,0.960429,0.021706,0.054893,0.017576
dataset3,sdsa_rf,0.947429,0.026707,0.974937,0.154127
dataset3,sdsa_rf_not_update,0.946429,0.027202,0.853282,0.208613
dataset3,sdsa_svc,0.947286,0.023680,0.305750,0.084043
dataset3,sdsa_svc_not_update,0.946286,0.024898,0.025315,0.006336
dataset3,sdsa_xgb,0.943143,0.027916,1.042163,0.271730
dataset3,sdsa_xgb_not_update,0.943000,0.026212,0.534747,0.194294
dataset4,ivabc,0.951857,0.023415,47.834501,23.684634
dataset4,sdsa_knn,0.707857,0.052791,0.562597,0.200351
dataset4,sdsa_knn_not_update,0.706714,0.049836,0.026101,0.006144
dataset4,sdsa_lr,0.787714,0.053049,0.280907,0.061436
dataset4,sdsa_lr_not_update,0.789000,0.055425,0.055521,0.017848
dataset4,sdsa_rf,0.733571,0.051413,1.105840,0.183568
dataset4,sdsa_rf_not_update,0.726143,0.051838,0.897148,0.128378
dataset4,sdsa_svc,0.725714,0.051835,0.273397,0.068260
dataset4,sdsa_svc_not_update,0.726571,0.051915,0.034684,0.011081
dataset4,sdsa_xgb,0.735000,0.057728,1.335546,0.285231
dataset4,sdsa_xgb_not_update,0.731143,0.058504,0.935838,0.270399
dry-climates,ivabc,0.943081,0.031095,2904.915570,8597.819018
dry-climates,sdsa,0.926255,0.037137,0.797076,0.240186
dry-climates,sdsa_knn,0.944641,0.030574,0.781420,0.077778
dry-climates,sdsa_knn_not_update,0.941012,0.029906,0.055968,0.030386
dry-climates,sdsa_lr,0.950000,0.031748,15.834933,6.802438
dry-climates,sdsa_lr_not_update,0.951738,0.031830,5.361376,1.878949
dry-climates,sdsa_not_update,0.927384,0.036330,0.104988,0.028434
dry-climates,sdsa_rf,0.947123,0.029219,1.653425,0.412878
dry-climates,sdsa_rf_not_update,0.946923,0.028722,0.585602,0.168408
dry-climates,sdsa_svc,0.930047,0.036388,1.322152,0.339236
dry-climates,sdsa_svc_not_update,0.930051,0.036889,0.076554,0.013341
dry-climates,sdsa_xgb,0.952290,0.029970,1.873490,0.294412
dry-climates,sdsa_xgb_not_update,0.951313,0.031085,1.334524,0.224627
european-climates,ivabc,0.955814,0.034079,216.689227,96.234860
european-climates,sdsa,0.924025,0.039308,0.346861,0.064972
european-climates,sdsa_knn,0.935758,0.044409,0.491017,0.072472
european-climates,sdsa_knn_not_update,0.936705,0.042238,0.030328,0.008602
european-climates,sdsa_lr,0.962244,0.038670,3.724894,1.454796
european-climates,sdsa_lr_not_update,0.961638,0.036184,1.367702,0.488190
european-climates,sdsa_not_update,0.918750,0.046918,0.043602,0.010192
european-climates,sdsa_rf,0.929886,0.043187,1.264160,0.245962
european-climates,sdsa_rf_not_update,0.930492,0.045106,0.397822,0.123203
european-climates,sdsa_svc,0.941051,0.040022,0.780743,0.208097
european-climates,sdsa_svc_not_update,0.940739,0.040171,0.040408,0.008182
european-climates,sdsa_xgb,0.940350,0.041937,0.729935,0.212989
european-climates,sdsa_xgb_not_update,0.943778,0.036755,0.332266,0.183382
mushroom,ivabc,0.718542,0.057682,16.180895,6.750694
mushroom,sdsa,0.617833,0.113679,0.192631,0.227162
mushroom,sdsa_knn,0.688917,0.069797,0.101401,0.037991
mushroom,sdsa_knn_not_update,0.700542,0.091319,0.008749,0.010678
mushroom,sdsa_lr,0.726292,0.037265,0.192217,0.037074
mushroom,sdsa_lr_not_update,0.730250,0.030306,0.076656,0.051880
mushroom,sdsa_not_update,0.634792,0.106580,0.005572,0.005776
mushroom,sdsa_rf,0.662097,0.083851,0.337139,0.141288
mushroom,sdsa_rf_not_update,0.681653,0.083649,0.483312,0.221308
mushroom,sdsa_svc,0.740000,0.008179,0.138036,0.067497
mushroom,sdsa_svc_not_update,0.740000,0.008179,0.016375,0.038398
mushroom,sdsa_xgb,0.651292,0.102804,0.207680,0.110842
mushroom,sdsa_xgb_not_update,0.653708,0.104935,0.128180,0.051993
synthetic-dataset1,sdsa,0.870000,0.052572,0.059997,0.015663
