i,n_prototipos,acc_original,acc_pca,n_componentes_pca
1,10,0.7561837455830389,0.7561837455830389,8
2,20,0.8021201413427562,0.7879858657243817,13
3,30,0.8127208480565371,0.8056537102473498,16
4,40,0.8197879858657244,0.8127208480565371,18
5,50,0.8409893992932862,0.833922261484099,20
6,60,0.8445229681978799,0.833922261484099,21
7,70,0.8445229681978799,0.8374558303886925,24
8,80,0.8480565371024735,0.8515901060070671,24
9,90,0.8480565371024735,0.8480565371024735,25
10,100,0.8374558303886925,0.8409893992932862,26
11,110,0.833922261484099,0.8374558303886925,26
12,120,0.8409893992932862,0.833922261484099,27
13,130,0.8445229681978799,0.8303886925795053,28
14,140,0.8480565371024735,0.8374558303886925,28
15,150,0.833922261484099,0.8374558303886925,29
16,160,0.8480565371024735,0.8409893992932862,30
17,170,0.8480565371024735,0.8303886925795053,30
18,180,0.833922261484099,0.8268551236749117,31
19,190,0.8409893992932862,0.8480565371024735,31
20,200,0.8445229681978799,0.8445229681978799,32
21,210,0.8445229681978799,0.8409893992932862,31
22,220,0.8480565371024735,0.8374558303886925,31
23,230,0.8445229681978799,0.8409893992932862,33
24,240,0.8409893992932862,0.8374558303886925,32
25,250,0.8445229681978799,0.8374558303886925,33
26,260,0.8480565371024735,0.8409893992932862,33
